Date,Time,Current Price,Volume,RSI,K,D,MA5,MA10,MA20,MACD,OSC,DIF,EMA12,EMA26,avg price
20210923,12:20,19.98,358.0,31.2,55.479378572975726,42.79552870723095,20.002000000000002,19.999999999999996,20.106499999999997,0.030237365368068658,-0.021317921555012453,0.008919443813056205,20.025034691514744,20.016115247701688,20.1619617633708
20210923,12:30,20,128.0,29.0,64.76403015976176,50.11836252474122,20.0,19.997,20.101999999999997,0.0254422272670083,-0.019180552404241446,0.006261674862766853,20.02118320051248,20.01492152564971,20.161410096064287
20210923,12:40,20,298.0,24.1,59.842686773174506,53.35980394088565,19.998,19.995,20.098,0.021175385640415465,-0.017067366506371338,0.0041080191340441274,20.01792424658748,20.013816227453436,20.160140190616993
20210923,12:50,20,137.0,29.1,56.56179118211634,54.42713302129588,19.996000000000002,20.005000000000003,20.089000000000002,0.017415081910688038,-0.01504121491890971,0.0023738669917783284,20.015166670189405,20.012792803197627,20.159563055716312
20210923,13:00,20,206.0,35.8,59.93008301029846,56.261449684296736,19.996000000000002,20.003000000000004,20.0745,0.014129695162182775,-0.013141546994021047,0.0009881481681617288,20.012833336314113,20.01184518814595,20.158703035060174
20210923,13:10,20.02,1058.0,48.4,73.28672200686565,61.93654045848638,20.003999999999998,20.003,20.055500000000002,0.011601086464708218,-0.010114434789898227,0.0014866516748099912,20.0139358999581,20.01244924828329,20.15496690259178
20210923,13:20,19.97,1725.0,43.2,48.857814671243766,57.57696519607217,19.997999999999998,19.999000000000002,20.043,0.008855203414209149,-0.010983532201996275,-0.002128328787787126,20.007176530733776,20.009304859521563,20.147185327902836
20210924,09:00,19.91,1982.0,51.6,32.571876447495846,49.2419356132134,19.979999999999997,19.989,20.0255,0.005139632978331979,-0.01486228174350868,-0.0097226487651767,19.99222629523627,20.001948944001448,19.91
20210924,09:10,19.9,3900.0,19.9,21.714584298330564,40.066151841585786,19.959999999999997,19.978,20.005499999999998,0.0008397991944614012,-0.01719933513548231,-0.01635953594102091,19.97803763443069,19.994397170371712,19.90336960217613
20210924,09:20,19.98,1486.0,42.8,36.69861175444293,38.94363847920483,19.955999999999996,19.976,19.994499999999995,-0.0023263959406651206,-0.012664780540506088,-0.014991176481171209,19.97833953682597,19.99333071330714,19.91882464712269
20210924,09:30,20.05,2060.0,55.8,57.79907450296196,45.2287838204572,19.961999999999996,19.983,19.991500000000002,-0.003493959708376279,-0.004670255070844634,-0.008164214779220913,19.989364223468133,19.997528438247354,19.947486211285533
20210924,09:40,20.2,6135.0,69.3,71.86604966864131,54.10787243651857,20.008000000000003,20.002999999999997,20.000000000000004,-0.0009464885988128447,0.010189884438253739,0.009243395839440893,20.021769727549955,20.012526331710514,20.047028207929063
20210924,09:50,20.33,5442.0,75.8,81.24403311242754,63.153259328488225,20.092,20.035999999999994,20.015500000000003,0.005872183067627655,0.027274686665761994,0.03314686973338965,20.069189769465346,20.036042899731957,20.12034087122114
20210924,10:00,20.35,2144.0,77.7,87.49602207495168,71.26751357730937,20.182,20.070999999999994,20.038000000000004,0.01531621888619399,0.03777614327426533,0.05309236216045932,20.112391343393753,20.059298981233294,20.141611300704135
20210924,10:10,20.51,10523.0,84.4,91.66401471663444,78.06634729041774,20.288000000000004,20.121999999999993,20.062500000000004,0.028428507922130596,0.05244915614374644,0.08087766406587704,20.173561905948556,20.09268424188268,20.256738239486815
20210924,10:20,20.5,2187.0,82.8,93.89622839032451,83.34297432372,20.378,20.169999999999995,20.0865,0.042928280670952744,0.057999090995288584,0.10092737166624133,20.22378315118724,20.122855779521,20.271574500125492
20210924,10:30,20.69,4954.0,86.3,95.93081892688299,87.53892252477432,20.476,20.241999999999997,20.1205,0.06047109607994494,0.07017126163596876,0.1306423577159137,20.29550882023536,20.164866462519445,20.322364197682113
20210924,10:40,20.56,2883.0,75.9,91.18392623294535,88.75392376083134,20.522,20.307,20.148,0.07678970836884558,0.06527444915560254,0.14206415752444812,20.336199770968378,20.19413561344393,20.338043070303918
20210924,10:50,20.56,952.0,75.9,87.35178415529678,88.28654389231981,20.564,20.373,20.1755,0.09131054595908275,0.058083350360948666,0.14939389632003142,20.37063057543478,20.22123667911475,20.342775712237952
20210924,11:00,20.62,681.0,76.7,86.80595134162643,87.79301304208867,20.586000000000002,20.437000000000005,20.2065,0.10469251664865482,0.05352788275828828,0.1582203994069431,20.40899510229097,20.250774702884026,20.34694058990933
20210924,11:10,20.58,1064.0,77.4,81.01878237589891,85.53493615335874,20.602,20.49,20.2365,0.11578237055146468,0.04435941561123946,0.16014178616270414,20.435303548092357,20.275161761929652,20.352285689651456
20210924,11:20,20.49,1073.0,75.4,67.73801178001075,79.60262802890941,20.561999999999998,20.519,20.261,0.12315443271256346,0.029488248644395115,0.15264268135695858,20.44371838684738,20.29107570549042,20.355398811781065
20210924,11:30,20.45,315.0,73.5,45.15867452000717,68.12131019260866,20.54,20.531,20.283499999999997,0.1268909288534043,0.014945984563363324,0.14183691341676763,20.44468478887086,20.30284787545409,20.35602247755384
20210924,11:40,20.47,315.0,72.0,32.883560791115805,56.375393725444376,20.522,20.543,20.307,0.12818272756823101,0.005167194859306834,0.13334992242753785,20.448579436736882,20.315229514309344,20.35676896207585
20210924,11:50,20.43,234.0,67.5,21.92237386074387,44.891053770544204,20.483999999999998,20.535,20.328499999999995,0.12694418807185937,-0.004954157985486596,0.12199003008637277,20.445721061854286,20.323731031767913,20.357123525760397
20210924,12:00,20.44,41.0,62.7,16.369301872075123,35.38380313772118,20.456,20.529,20.349499999999995,0.12405482056925407,-0.01155747001042115,0.11249735055883292,20.44484089849209,20.332343547933256,20.35719377312853
20210924,12:10,20.42,264.0,55.4,10.912867914716749,27.22682473005304,20.442,20.502,20.372,0.11968037712425897,-0.017497773779980436,0.10218260334427853,20.441019221801,20.33883661845672,20.357534697234502
20210924,12:20,20.41,311.0,53.6,7.275245276477833,20.57629824552797,20.434,20.487,20.397000000000002,0.11417211245522571,-0.022033058676133005,0.0921390537790927,20.436247033831613,20.34410798005252,20.35786805867691
20210924,12:30,20.4,136.0,41.7,4.850163517651889,15.33425333623594,20.419999999999998,20.470999999999997,20.422000000000004,0.10782217744618608,-0.025399740036158552,0.08242243741002753,20.43067056708829,20.34824812967826,20.35798480094536
20210924,12:40,20.41,152.0,43.2,6.937146048805547,12.535217573759143,20.415999999999997,20.449999999999996,20.443500000000004,0.10119136946679944,-0.026523231917546602,0.07466813754925283,20.42749047984394,20.352822342294687,20.358145387333956
20210924,12:50,20.4,216.0,20.4,4.624764032537032,9.898399726685106,20.407999999999998,20.432000000000002,20.461,0.09434193390271448,-0.027397742256339813,0.06694419164637466,20.423261175252566,20.35631698360619,20.35832821031345
20210924,13:00,20.44,668.0,35.0,22.130795069311613,13.975864840893943,20.412,20.427,20.473,0.08813767782188664,-0.024817024323311343,0.0633206534985753,20.425836379059866,20.36251572556129,20.35941677640768
20210924,13:10,20.35,1725.0,28.5,14.753863379541075,14.235197687109654,20.4,20.416999999999998,20.474000000000004,0.08102626406569255,-0.028445655024776334,0.052580609040916215,20.414169243819888,20.361588634778972,20.359103446945586
20210924,13:20,20.41,562.0,28.5,32.05813114191583,20.176175505378378,20.401999999999997,20.410999999999998,20.477000000000004,0.07449164322482751,-0.02613848336346017,0.048353159861367345,20.41352782169375,20.365174661832384,20.359649270107813
20210927,09:00,20.32,948.0,25.9,21.372087427943885,20.574812812900216,20.384000000000004,20.4,20.4675,0.06705542167246555,-0.029744886209447888,0.03731053546301766,20.399138926048558,20.36182839058554,20.32
20210927,09:10,20.23,3634.0,25.9,14.248058285295924,18.465894637032118,20.35,20.378999999999998,20.454,0.05785518297678808,-0.03680095478270987,0.021054228194078206,20.373117552810317,20.35206332461624,20.248620689655173
20210927,09:20,20.41,1146.0,47.0,38.07013409495902,25.000641123007753,20.344,20.377999999999997,20.440000000000005,0.050771515432363155,-0.02833467017769966,0.022436845254663496,20.378791775454886,20.356354930200222,20.28090782122905
20210927,09:30,20.94,8682.0,69.7,58.713422729972685,36.23823499199606,20.462,20.430999999999997,20.459000000000003,0.05372593314077856,0.011817670833661587,0.06554360397444015,20.46513150230798,20.39958789833354,20.678009715475365
20210927,09:40,20.94,8111.0,72.1,72.47561515331512,48.31736171243574,20.567999999999998,20.484999999999996,20.478,0.0626947004881612,0.03587506938953053,0.09856976987769173,20.5381881942606,20.439618424382907,20.77236623595755
20210927,09:50,21.02,4239.0,73.7,81.65041010221007,59.42837784236051,20.708,20.546000000000003,20.498,0.0760964474395059,0.0536069878053788,0.1297034352448847,20.612313087451277,20.482609652206392,20.81159342301943
20210927,10:00,21.22,9368.0,78.5,87.76694006814004,68.8745652509537,20.906,20.628000000000004,20.53,0.09459160239944021,0.07398061983973724,0.16857222223917745,20.70580338168954,20.537231159450364,20.917493356953056
20210927,10:10,21.36,8358.0,81.0,91.84462671209337,76.53125240466692,21.096,20.72,20.573500000000003,0.11732768507648945,0.090944330708197,0.20827201578468646,20.806449015275767,20.59817699949108,21.000631209818817
20210927,10:20,21.33,1553.0,79.9,93.67812872251649,82.24687784395012,21.174,20.818,20.6175,0.1407839900568058,0.09382521992126541,0.23460920997807122,20.88699532061796,20.65238611063989,21.011741566932383
20210927,10:30,21.03,5558.0,66.8,86.0509058740081,83.51488718730278,21.192,20.88,20.6455,0.15835489817967213,0.07028363249146524,0.22863853067113737,20.908996040522887,20.68035750985175,21.013708355136927
20210927,10:40,21.24,1500.0,70.5,86.49007760021588,84.50661732494048,21.235999999999997,20.972,20.686,0.1743053620385972,0.06380185543570033,0.23810721747429753,20.95991972659629,20.721812509121992,21.020101135657384
20210927,10:50,21.4,3679.0,72.2,90.9933850668106,86.66887323889718,21.272,21.089000000000002,20.733999999999998,0.19055944252800033,0.06501632195761259,0.2555757644856129,21.027624384043012,20.7720486195574,21.04471801465408
20210927,11:00,21.45,3667.0,75.9,93.9955900445404,89.1111121741116,21.29,21.193,20.7855,0.20651515556349476,0.06382285214197769,0.27033800770547245,21.092605248036396,20.822267240330923,21.069305957679138
20210927,11:10,21.39,2543.0,73.1,91.34589723899603,89.85604052907308,21.302,21.238,20.8345,0.2200194780458153,0.054017289929282175,0.27403676797509746,21.138358286800027,20.86432151882493,21.082253675419935
20210927,11:20,21.27,1114.0,72.0,79.94488387361636,86.55232164392085,21.35,21.271,20.877999999999993,0.2288633987110147,0.0353756826607976,0.2642390813718123,21.15861085806156,20.89437177668975,21.08551653666147
